ID,Requisito,Processo,Subprocesso,Módulo,Submodulo,ID BPD,Nome BPD,Descrição,App ID,Atende,OBS,Acelerador,FIT/GAP/DELTA,Workshop,Workshop (bagunçado),SCOPE_ITEM,ID_GAP,GAP Descrição
34,1002,"Cadastro, Crédito e Cobrança",Análise de Limite de Crédito,FI,FSCM-CR,FI - BPD011 - Gestão de Crédito (FSCM-CR),BPD011 - Finanças - Gestão de Crédito (FSCM-CR),"Permitir  cadastro  e  histórico  dos  motivos  de  impedimento  de  concessão  de  crédito.  Manter  registro  no cadastro  do  cliente  ou  tela  específica  de  todo  histórico  de  crédito  do  Cliente  e  seu  respectivo  Grupo Econômico, quando existir. De forma que o analista de crédito sempre tenha visão dos motivos que levaram a empresa  a conceder, alterar, restringir  ou negar  crédito ao cliente  e seu grupo. Solicitar  justificativa a cada alteração  no  campo  de  valor  do  limite,  seja  concedendo,  alterando,  ou  zerando,  de  forma  que  em  um relatório ou aba específica fique registrado todo este histórico de alterações. Somente efetivar a alteração do campo  se  informada  uma  justificativa.  E  também  permitir  bloqueio  e  desbloqueio  de  crédito  por  cliente. Permitir  workflow  de  aprovação  de  limite  de  crédito  com  alçadas.  Permitir  o  armazenamento  de  critérios
utilizados na definição do limite de crédito.",F4596,Atende,DCD para pedido de limite no 1QM,,FIT,,,1QM,,
35,1003,"Cadastro, Crédito e Cobrança",Análise de Limite de Crédito,FI,FSCM-CR,FI - BPD011 - Gestão de Crédito (FSCM-CR),BPD011 - Finanças - Gestão de Crédito (FSCM-CR),"Possuir o bloqueio automático do pedido de venda caso ultrapasse o limite de crédito do cliente e/ou grupo econômico caso possua titulo vencido em aberto. A validação do bloqueio deve considerar as informações do cliente e  do Grupo Econômico que  estiver  vinculado. Permitir alçadas para liberação dos  pedidos conforme função,  ex:  Supervisora  de  vendas  pode  liberar  pedidos  que  bloqueados  por  estouro  de  limite  em  até  x%, Analista de Crédito pode liberar estouro de limite e atrasos de até x% do limite, Gerente de vendas estouros de 2x% do limite e Gerente de crédito qualquer tipo de bloqueio. Permitir cadastramento de tolerância (%) que  serão  levados  em  consideração  pra  efeito  de  liberação  dos  pedidos.  Permitir  alçadas  para  a  Área  de Crédito e Cobrança de liberação de pedidos, conforme cargos (Gerente de Crédito, Supervisor e Analista).",,Atende,,,FIT,,,BD6,,
36,1005,"Cadastro, Crédito e Cobrança",Análise de Limite de Crédito,FI,FSCM-CR,FI - BPD011 - Gestão de Crédito (FSCM-CR),BPD011 - Finanças - Gestão de Crédito (FSCM-CR),"Permitir a visualização consolidada do limite de crédito por cliente, por grupo econômico nas telas de venda e liberação de pedidos. Exirbir a consulta consolidada das informações do cliente:- Volume de compras- Relação de  titulos  em  aberto-  Composição  do  limite  de  crédito-  Histórico  de  pagamento-  Contratos  (Clientes)- Histórico   limite-   Rating   /   Score-   Garantias   (Hipoteca,   Fiança   e   outros.)-   Análise   dos   fiadores-   Quadro societário- Análise dos sócio- Documentação do cliente* Se aplicável, disponibilizar a visão de consulta (tela) para impressão",,Não Atende,,,GAP,,,,,
37,1014,"Cadastro, Crédito e Cobrança",Análise de Limite de Crédito,SD,"AR, C4C","SD - BPD001 - Processo de Vendas (Venda de Combustível, Ativo, Serviço, Sucata)","BPD001 - Comercial - Processo de Vendas (Venda de Combustível, Ativo, Serviço, Sucata)","Permitir a seleção da forma de pagamento do cliente conforme a liberação da área de crédito (boleto a prazo, antecipado, etc.). Para clientes com limite vigente, permitir que a vendedora possa selecionar, apenas para o pedido em tela, a forma de pagamento(liberadas pela área de crédito) e o prazo para depósito antecipado ou menor que o aprovado pela área de crédito, sem alterar a forma e prazo de pagamento padrão (definidos no cadastro)  do  cliente.  Esta  funcionalidade  se  aplica  para  casos  de  estouro  de  limite  onde  alguns  pedidos precisam  ser  lançados  com  pagamento  antecipado,  sem  ter  que  depender  do  setor  de  cadastro  alterar  o cadastro do cliente, de forma a agilizar a negociação com o cliente e garantir a venda. Para os casos de perda do limite (zerado) alterar automaticamente a forma de pagamento e o prazo para depósito antecipado.",,Atende,Standard. Alteração de condição de pgto e forma de pgto direto na ordem de vendas,,,,,BD9,,
617,1015,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Permitir parametrização de diferentes formas e condições de pagamento, considerando ao menos: dinheiro, depósito, cheque, boleto, cartão de crédito e PIX.
Caso ainda não exista funcionalidade standard para o PIX, será necessário desenvolvimento .",,,Formas de pagamento,,FIT,,,J60,,
618,1016,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Permitir  o  cadastro  de  tipos  de  documento  &quot;Notas  de  crédito&quot;,  &quot;Contratos  de  Finame&quot;,  &quot;Contratos  de Aluguel&quot;,  &quot;Bonificação&quot;,  &quot;Nota  Fiscal&quot;,  &quot;Impostos&quot;  entre  outros  de  acordo  com  a  operação  executada.  A finalidade é facilitar filtros para análise da inadimplência e direcionamento para bancos  no momento de se gerar os arquivos de pagamento.",,,Detalhar,,,,,,,
619,1017,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Sistema deve permitir gerar lotes/arquivos de pagamento conforme forma de pagamento cadastrada no titulo ou fornecedor, de forma a permitir o direcionamento do arquivo (por forma de pagamento) para o banco que
estiver apresentando a melhor condição.",,,Detalhar,,FIT,,,J60,,
620,1018,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Permitir agrupamento de titulos, de diversos tipos, mas do mesmo fornecedor e ou grupo econômico, onde várias parcelas podem ser agrupadas  gerando novas parcelas a pagar, com novos vencimentos mas sempre validando  o  valor  total  anterior  /  principal  e  da  nova  negociação.  Solução  para  renegociações  simples  no
contas a pagar.",,,Detalhar,,FIT,,,J60,,
621,1019,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Permitir desmembramento de titulos. Um titulo a pagar pode ser dividido em várias outras parcelas, desde que não altere o valor total devido. Esta ferramenta serve principalmente para os casos de notas de serviço, onde o trabalho não chegou a ser concluído no vencimento previamente estipulado, para ajudar o fornecedor a ideia é reprogramar a quantidade de parcelas e vencimentos sem alterar o valor da negociação/contratação original e também sem que nosso contas a pagar fique acusando que existem pagamentos em atraso, sendo que o pagamento só não ocorreu por causa do próprio fornecedor. Permitir o pagamento parcial de titulos.",,,Detalhar,,FIT,,,J60,,
622,1020,Financeiro,Contas a Pagar,FI,AP,FI - BPD008 - Gestão do Contas a pagar (AP),BPD008 - Finanças - Gestão do Contas a pagar (AP),"Permitir bloqueio total ou parcial de pagamentos aos fornecedores. Algumas negociações com fornecedores, principalmente de prestação de serviço, o pagamento está condicionado a conclusão do trabalho, então para não atrasar o processo de pagamento por rotinas internas, pretendemos liberar o processo em todas as áreas mas  garantir  que  quando  chegar  no  financeiro  este  somente  consiga  efetuar  o  pagamento  após  uma determinada liberação (cumprimento de determinado requisito, imputado por outra área, ou ao menos algum alerta do motivo de bloqueio para que o financeiro valide a conclusão com área envolvida).",,,Condição de pagamento,,FIT,,,J60,,
